shop_id,item_type,name,description,quantity,unit_price,unit_cost,part_number,supplier,category,labor_hours,warranty_period
da36ec66-96b2-43a2-93f6-a0d79dfc2224,discount,$10 Off Coupon,$10 Off Coupon - Discount/Coupon,1,10,,,,discounts,,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,discount,$10 Off Coupon 1,$10 Off Coupon 1 - Discount/Coupon,1,10,,,,discounts,,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,discount,$10 Off Coupon 2,$10 Off Coupon 2 - Discount/Coupon,1,10,,,,discounts,,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,205/55/16 Wanli,205/55/16 Wanli - Complete service package,1,50,33,,,general,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Accumulator,A/C Accumulator - Complete service package,1,150,98,,,air_conditioning,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Compressor Replacement,A/C Compressor Replacement,1,549.99,357,PN-ACCOMPRE,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Control Unit,A/C Control Unit - Complete service package,1,200,130,,,suspension,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Drier Replacement,Professional a/c drier replacement service,1,100,65,,,engine,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Evaporative Core Replacement,Professional a/c evaporative core replacement service,1,300,195,,,engine,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Expansion Valve Replacement,A/C Expansion Valve Replacement,1,80,52,PN-ACEXPANS,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Gas Refill,A/C Gas Refill - Complete service package,1,119.99,78,,,engine,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Line Fix,A/C Line Fix,1,75,49,PN-ACLINEFI,Local Supplier,transmission,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Line replacement,A/C Line replacement,1,120,78,PN-ACLINERE,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Pressure Switch Replacement,A/C Pressure Switch Replacement,1,60,39,PN-ACPRESSU,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Refrigerant Service,Professional a/c refrigerant service service,1,119.99,78,,,engine,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Relay Replacement,Professional a/c relay replacement service,1,40,26,,,engine,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Stop Leak Service,A/C Stop Leak Service,1,25,16,PN-ACSTOPLE,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C Valves Replacement,A/C Valves Replacement,1,90,59,PN-ACVALVES,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,A/C check,Professional a/c check service,1,50,33,,,air_conditioning,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,ABS Module,ABS Module,1,200,130,PN-ABSMODUL,Local Supplier,electrical,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,ABS RIngs Replacement,Professional abs rings replacement service,1,50,33,,,engine,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Addition Oil - 1L,Addition Oil - 1L - Complete service package,1,10,7,,,engine,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Additional Oil,Additional Oil - Complete service package,1,15,10,,,engine,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Air Compressor Replacement,Air Compressor Replacement,1,300,195,PN-AIRCOMPR,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Air Conditioner O Rings Replacement,Professional air conditioner o rings replacement service,1,25,16,,,engine,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Air Conditioner valves Replacement,Air Conditioner valves Replacement,1,80,52,PN-AIRCONDI,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Airbag Replacement,Professional airbag replacement service,1,400,260,,,engine,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Alternator Replacement,Alternator Replacement,1,549.99,357,PN-ALTERNAT,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Ambient Temperature Sensor Replacement,Ambient Temperature Sensor Replacement,1,60,39,PN-AMBIENTT,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Axle Bearing Bracket Replacement,Axle Bearing Bracket Replacement,1,120,78,PN-AXLEBEAR,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,BCM Replacement,Professional bcm replacement service,1,250,163,,,engine,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Back Camera Installation,Professional back camera installation service,1,150,98,,,brakes,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Backing Plate Replacement,Backing Plate Replacement,1,80,52,PN-BACKINGP,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Ball Joint Replacement,Ball Joint Replacement,1,180,117,PN-BALLJOIN,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Battery Cable Replacement,Battery Cable Replacement,1,40,26,PN-BATTERYC,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Battery Circuit Fuse Replacement,Battery Circuit Fuse Replacement,1,30,20,PN-BATTERYC,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Battery Installation - Customer's own Part,Battery Installation - Customer's own Part,1,39.99,26,PN-BATTERYI,Local Supplier,brakes,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Battery Replacement,Battery Replacement,1,219.99,143,PN-BATTERYR,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Battery Sensor Replacement,Battery Sensor Replacement,1,50,33,PN-BATTERYS,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Battery Terminals Replacement,Battery Terminals Replacement,1,35,23,PN-BATTERYT,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Blend Door Actuator Replacement,Blend Door Actuator Replacement,1,50,33,PN-BLENDDOO,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Blower Motor,Blower Motor,1,50,33,PN-BLOWERMO,Local Supplier,suspension,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Blower Motor Resistor Replacement,Blower Motor Resistor Replacement,1,50,33,PN-BLOWERMO,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Body Control Module Replacement,Body Control Module Replacement,1,50,33,PN-BODYCONT,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,package,Body Kit Installation,Body Kit Installation - Service package with multiple components,1,50,33,,,brakes,3,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Body Repair,Professional body repair service,1,50,33,,,engine,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Body Skirt Fix,Professional body skirt fix service,1,50,33,,,air_conditioning,1.5,
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Boost Pressure Sensor Replacement,Boost Pressure Sensor Replacement,1,50,33,PN-BOOSTPRE,Local Supplier,engine,,12 months
da36ec66-96b2-43a2-93f6-a0d79dfc2224,labor,Boot Button,Boot Button - Complete service package,1,50,33,,,general,1.5,
